,X,Y,Loc,Axial,Type
108,10.0,8.0,Right,26.09633326756446,Beam
109,15.0,8.0,Left,26.09633326756446,Beam
110,15.0,8.0,Right,-33.01516231241207,Beam
111,20.0,8.0,Left,-33.01516231241207,Beam
112,20.0,8.0,Right,26.397003228899646,Beam
113,26.0,8.0,Left,26.397003228899646,Beam
114,26.0,8.0,Right,-32.68716261886149,Beam
115,32.0,8.0,Left,-32.68716261886149,Beam
116,32.0,8.0,Right,26.39700322889965,Beam
117,38.0,8.0,Left,26.39700322889965,Beam
118,38.0,8.0,Right,-32.68716261886149,Beam
119,44.0,8.0,Left,-32.68716261886149,Beam
120,0.0,4.5,Right,27.41427069990857,Beam
121,5.0,4.5,Left,27.41427069990857,Beam
122,5.0,4.5,Right,-35.14451070918024,Beam
123,10.0,4.5,Left,-35.14451070918024,Beam
124,10.0,4.5,Right,27.41427069990857,Beam
125,15.0,4.5,Left,27.41427069990857,Beam
126,15.0,4.5,Right,-35.14451070918024,Beam
127,20.0,4.5,Left,-35.14451070918024,Beam
128,20.0,4.5,Right,27.635266277750176,Beam
129,26.0,4.5,Left,27.635266277750176,Beam
130,26.0,4.5,Right,-34.90297554025292,Beam
131,32.0,4.5,Left,-34.90297554025292,Beam
132,32.0,4.5,Right,27.635266277750176,Beam
133,38.0,4.5,Left,27.635266277750176,Beam
134,38.0,4.5,Right,-34.90297554025292,Beam
135,44.0,4.5,Left,-34.90297554025292,Beam
