,X,Y,Loc,Shear,Type
125,15.0,4.5,Bot,3.867035893860759,Col
126,20.0,0.0,Top,3.8117712136427064,Col
127,20.0,4.5,Bot,3.8117712136427064,Col
128,26.0,0.0,Top,3.7512489707260577,Col
129,26.0,4.5,Bot,3.7512489707260577,Col
130,32.0,0.0,Top,3.7512489707260577,Col
131,32.0,4.5,Bot,3.7512489707260577,Col
132,38.0,0.0,Top,3.7512489707260577,Col
133,38.0,4.5,Bot,3.7512489707260577,Col
134,44.0,0.0,Top,3.335320931485443,Col
135,44.0,4.5,Bot,3.335320931485443,Col
